Invoice No,Order Id,Customer Name,Invoice Date,Due Date,Amount,Currency,Status,Description,Refund Amount
INV-3001,ORD-7001,Northwind Retail Private Limited,2026-03-02,2026-03-17,12500.00,INR,Paid,Annual cloud platform subscription,
INV-3002,ORD-7002,Kalyan Technologies Pvt Ltd,2026-03-02,2026-03-17,4300.50,INR,Paid,SoundMax Pro headphone bulk order,
INV-3003,ORD-7003,Sunrise Commerce LLP,2026-03-03,2026-03-18,899.00,INR,Paid,Starter plan monthly,
INV-3004,ORD-7004,Meridian Softworks Pvt Ltd,2026-03-03,2026-03-18,24450.00,INR,Paid,Enterprise onboarding fee,
INV-3005,ORD-7005,Anand Traders Private Limited,2026-03-04,2026-03-19,1750.00,INR,Paid,Priority support add-on,
INV-3006,ORD-7006,Bluepeak Services Pvt Ltd,2026-03-04,2026-03-19,6300.00,INR,Paid,Team seats x3 quarterly,
INV-3007,ORD-7007,Vantage Analytics Pvt Ltd,2026-03-05,2026-03-20,15400.00,INR,Paid,Data export service annual,
INV-3008,ORD-7008,Harbourline Foods Pvt Ltd,2026-03-05,2026-03-20,2200.00,INR,Paid,Widget bundle standard,
INV-3009,ORD-7009,Northwind Retail Private Limited,2026-03-06,2026-03-21,8750.00,INR,Paid,Consulting session block,
INV-3010,ORD-7010,Kalyan Technologies Pvt Ltd,2026-03-09,2026-03-24,33150.00,INR,Paid,Enterprise licence renewal,
INV-3011,ORD-7011,Sunrise Commerce LLP,2026-03-09,2026-03-24,18400.00,INR,Paid,Data migration service,
INV-3012,ORD-7012,Meridian Softworks Pvt Ltd,2026-03-09,2026-03-24,9900.00,INR,Paid,Priority support annual,
INV-3013,ORD-7013,Anand Traders Private Limited,2026-03-10,2026-03-25,3125.00,INR,Paid,Widget bundle standard,
INV-3014,ORD-7014,Bluepeak Services Pvt Ltd,2026-03-10,2026-03-25,7480.00,INR,Paid,Team seat upgrade,
INV-3015,ORD-7015,Vantage Analytics Pvt Ltd,2026-03-11,2026-03-26,21600.00,INR,Paid,Annual analytics add-on,
INV-3016,ORD-7016,Harbourline Foods Pvt Ltd,2026-03-11,2026-03-26,1299.00,INR,Paid,Starter plan monthly,
INV-3017,ORD-7017,Northwind Retail Private Limited,2026-03-12,2026-03-27,5675.00,INR,Paid,Express shipping add-on,
INV-3018,ORD-7018,Kalyan Technologies Pvt Ltd,2026-03-13,2026-03-28,14250.00,INR,Paid,Consulting session block,
INV-3019,ORD-7019,Sunrise Commerce LLP,2026-03-13,2026-03-28,2680.00,INR,Paid,Priority support add-on,
INV-3020,ORD-7020,Meridian Softworks Pvt Ltd,2026-03-16,2026-03-31,46300.00,INR,Paid,Enterprise onboarding fee,
INV-3055,ORD-7021,Northwind Retail Private Limited,2026-03-17,2026-04-01,31200.00,INR,Paid,Annual cloud platform renewal,
INV-3042,ORD-7031,Vantage Analytics Pvt Ltd,2026-03-24,2026-04-08,8650.00,INR,Paid,Gift card bulk purchase corporate,
INV-3117,ORD-7032,Harbourline Foods Pvt Ltd,2026-03-25,2026-04-09,8650.00,INR,Paid,Refrigeration unit deposit,
INV-3061,ORD-7034,Bluepeak Services Pvt Ltd,2026-03-19,2026-04-03,18650.00,INR,Paid,Custom integration build,
INV-3065,ORD-7036,Anand Traders Private Limited,2026-03-20,2026-04-04,11000.00,INR,Partially Refunded,Widget bundle premium,2500.00
INV-3072,ORD-7037,Kalyan Technologies Pvt Ltd,2026-03-23,2026-04-07,16800.00,INR,Paid,Analytics seat pack,
INV-3068,ORD-7038,Meridian Softworks Pvt Ltd,2026-03-26,2026-04-10,1200.00,USD,Paid,Overseas licence fee,
INV-3062,ORD-7040,Sunrise Commerce LLP,2026-03-27,2026-04-11,13475.00,INR,Paid,Consulting retainer block,
INV-3050,ORD-7104,Northwind Retail Private Limited,2026-03-28,2026-04-12,24999.00,INR,Paid,Enterprise onboarding fee phase 2,
INV-3077,ORD-7042,Harbourline Foods Pvt Ltd,2026-04-02,2026-04-17,9260.00,INR,Paid,Cold chain logistics add-on,
