id,entity,order_id,amount,currency,status,method,captured,description,card_id,bank,vpa,fee,tax,created_at,notes
pay_8S249JU2KD102W,payment,WB-104254,1191183,INR,captured,netbanking,TRUE,Payment for WB-104254 Rubber foot mat,,,,23824,4288,1772395740,
pay_X3Z9WK61446SXH,payment,WB-104726,713387,INR,captured,wallet,TRUE,Payment for WB-104726 Copper water bottle,,,,14268,2568,1772372100,
pay_3ABTX4A3E7SNSQ,payment,WB-104831,3167900,INR,captured,emi,TRUE,Payment for WB-104831 Steel tiffin carrier,,,,63358,11404,1772357040,
pay_A2ZZMYU6W04Q6C,payment,WB-105613,1783908,INR,captured,emi,TRUE,Payment for WB-105613 Rubber foot mat,,,,35678,6422,1772370180,
pay_VKQ46FTV69C7A8,payment,WB-105634,695391,INR,captured,wallet,TRUE,Payment for WB-105634 Trolley bag 24 inch,,,,13908,2503,1772382660,
pay_DQSWVTGL27EKW9,payment,WB-105713,4494400,INR,captured,emi,TRUE,Payment for WB-105713 Rubber foot mat,,,,89888,16180,1772352180,
pay_KVS46Z7PMYWRAX,payment,WB-105723,8232041,INR,captured,card,TRUE,Payment for WB-105723 Steel tiffin carrier,,,,164641,29635,1772398380,
pay_5GT5HG1AYHZVP1,payment,WB-105728,8919259,INR,captured,upi,TRUE,Payment for WB-105728 Trolley bag 24 inch,,,,178385,32109,1772391360,
pay_XEMEJJZ3XMXK8T,payment,WB-105758,7076000,INR,captured,card,TRUE,Payment for WB-105758 Steel tiffin carrier,,,,141520,25474,1772365620,
pay_R00BWLJY3S90QP,payment,WB-106120,4558500,INR,captured,card,TRUE,Payment for WB-106120 Steel tiffin carrier,,,,91170,16411,1772370780,
pay_85GG53RNCRZ4X1,payment,WB-106142,3427181,INR,captured,netbanking,TRUE,Payment for WB-106142 Rubber foot mat,,,,68544,12338,1772369340,
pay_932ZQZ9KPJ012W,payment,WB-106169,7772943,INR,captured,emi,TRUE,Payment for WB-106169 Rubber foot mat,,,,155459,27983,1772396280,
pay_5LWZ2MKCYCEYG5,payment,WB-106266,5361751,INR,captured,upi,TRUE,Payment for WB-106266 Coir door mat,,,,107235,19302,1772366520,
pay_A877MSJ9DBR2QP,payment,WB-106608,2466700,INR,captured,upi,TRUE,Payment for WB-106608 Copper water bottle,,,,49334,8880,1772378760,
pay_R1NFUE87YZ9H28,payment,WB-106764,4759900,INR,captured,emi,TRUE,Payment for WB-106764 Coir door mat,,,,95198,17136,1772378760,
pay_YGP6FL0PKFVM0J,payment,WB-106851,1880600,INR,captured,netbanking,TRUE,Payment for WB-106851 Coir door mat,,,,37612,6770,1772395260,
pay_414PCJCLS826E9,payment,WB-106887,2249600,INR,captured,netbanking,TRUE,Payment for WB-106887 Copper water bottle,,,,44992,8099,1772391960,
pay_62U32NY6MYH9BX,payment,WB-106987,7200675,INR,captured,netbanking,TRUE,Payment for WB-106987 Rubber foot mat,,,,144014,25923,1772365080,
pay_G0L9NB3PL4RQCA,payment,WB-107004,1193600,INR,captured,netbanking,TRUE,Payment for WB-107004 Steel tiffin carrier,,,,23872,4297,1772374500,
pay_CR4ZFTXA2D4RSA,payment,WB-107070,1267000,INR,captured,card,TRUE,Payment for WB-107070 Mixer jar spare,,,,25340,4561,1772356860,
pay_9YU19TQX2N0C7L,payment,WB-107168,3455800,INR,captured,wallet,TRUE,Payment for WB-107168 Copper water bottle,,,,69116,12441,1772389800,
pay_85D94PHSQB6BZA,payment,WB-107190,481532,INR,captured,card,TRUE,Payment for WB-107190 Copper water bottle,,,,9631,1734,1772378400,
pay_4R4XY26WZNX59X,payment,WB-107341,1242100,INR,captured,netbanking,TRUE,Payment for WB-107341 Trolley bag 24 inch,,,,24842,4472,1772371560,
pay_2QNNX59L4X56U6,payment,WB-107465,5467900,INR,captured,emi,TRUE,Payment for WB-107465 Mixer jar spare,,,,109358,19684,1772388420,
pay_J6H46Y486HR51V,payment,WB-107468,7601100,INR,captured,netbanking,TRUE,Payment for WB-107468 Coir door mat,,,,152022,27364,1772377200,
pay_NUBBS4ZNX2EG1J,payment,WB-107552,3531900,INR,captured,emi,TRUE,Payment for WB-107552 Mixer jar spare,,,,70638,12715,1772355840,
pay_74A1HLF9ACD5SE,payment,WB-107636,4634394,INR,captured,wallet,TRUE,Payment for WB-107636 Mixer jar spare,,,,92688,16684,1772371860,
pay_D816DT38ZEC9BR,payment,WB-107844,1971300,INR,captured,wallet,TRUE,Payment for WB-107844 Coir door mat,,,,39426,7097,1772381880,
pay_82BG8XG8R7W403,payment,WB-108049,474000,INR,captured,card,TRUE,Payment for WB-108049 Trolley bag 24 inch,,,,9480,1706,1772390460,
pay_GM93X2CG37DYYZ,payment,WB-108089,5072023,INR,captured,card,TRUE,Payment for WB-108089 Steel tiffin carrier,,,,101440,18259,1772375700,
pay_CV30W1XM0MDV9Y,payment,WB-108313,5305025,INR,captured,card,TRUE,Payment for WB-108313 Coir door mat,,,,106100,19098,1772396280,
pay_ANP3G2918WZMT6,payment,WB-108565,3747000,INR,captured,card,TRUE,Payment for WB-108565 Coir door mat,,,,74940,13489,1772391000,
pay_YQX3VN2X7E6Z9D,payment,WB-108766,8931884,INR,captured,wallet,TRUE,Payment for WB-108766 Trolley bag 24 inch,,,,178638,32155,1772377680,
pay_6UYQAAYC53YR8M,payment,WB-108938,8924003,INR,captured,card,TRUE,Payment for WB-108938 Copper water bottle,,,,178480,32126,1772395260,
pay_60TJ9TKC5WJBHL,payment,WB-109154,429813,INR,captured,wallet,TRUE,Payment for WB-109154 Steel tiffin carrier,,,,8596,1547,1772359320,
pay_9SNS8FRGF7981R,payment,WB-109422,5116623,INR,captured,netbanking,TRUE,Payment for WB-109422 Trolley bag 24 inch,,,,102332,18420,1772383560,
pay_7E9HC7S0ULGAN9,payment,WB-109468,1165442,INR,captured,emi,TRUE,Payment for WB-109468 Mixer jar spare,,,,23309,4196,1772352540,
pay_5NH7FZ33UUQ4C5,payment,WB-109596,3239811,INR,captured,wallet,TRUE,Payment for WB-109596 Copper water bottle,,,,64796,11663,1772368560,
pay_ZZHRPH5RDT3ESJ,payment,WB-109691,5509300,INR,captured,wallet,TRUE,Payment for WB-109691 Mixer jar spare,,,,110186,19833,1772385120,
pay_HRVN7YKK5Q5QEB,payment,WB-104030,4214278,INR,captured,upi,TRUE,Payment for WB-104030 Coir door mat,,,,84286,15171,1772474100,
pay_S4Q40C4502E54C,payment,WB-104084,8313400,INR,captured,emi,TRUE,Payment for WB-104084 Mixer jar spare,,,,166268,29928,1772439120,
pay_6PUC5J0JMASZ37,payment,WB-104182,8942078,INR,captured,card,TRUE,Payment for WB-104182 Copper water bottle,,,,178842,32192,1772464320,
pay_YS22MWR96F9YRM,payment,WB-104267,5436500,INR,captured,card,TRUE,Payment for WB-104267 Steel tiffin carrier,,,,108730,19571,1772473920,
pay_RG7ANVVWPAZVFF,payment,WB-104677,815685,INR,captured,netbanking,TRUE,Payment for WB-104677 Steel tiffin carrier,,,,16314,2937,1772466300,
pay_CXCF079HHSXW0B,payment,WB-105141,8440683,INR,captured,netbanking,TRUE,Payment for WB-105141 Mixer jar spare,,,,168814,30387,1772472180,
pay_BVCCAV4QXYW54N,payment,WB-105507,8057916,INR,captured,emi,TRUE,Payment for WB-105507 Mixer jar spare,,,,161158,29008,1772462340,
pay_WCJL4U4NSH7ZP0,payment,WB-105520,31200,INR,captured,upi,TRUE,Payment for WB-105520 Trolley bag 24 inch,,,,624,112,1772478000,
pay_6A0MKSWFWAEM5L,payment,WB-105591,3205700,INR,captured,upi,TRUE,Payment for WB-105591 Trolley bag 24 inch,,,,64114,11541,1772463120,
pay_4Z04TG56NR5KQA,payment,WB-105712,8356600,INR,captured,netbanking,TRUE,Payment for WB-105712 Rubber foot mat,,,,167132,30084,1772476500,
pay_FRXYCVVS293RGE,payment,WB-105776,754418,INR,captured,emi,TRUE,Payment for WB-105776 Copper water bottle,,,,15088,2716,1772453520,
pay_9FK26R4K4SK1C2,payment,WB-105811,2635610,INR,captured,netbanking,TRUE,Payment for WB-105811 Steel tiffin carrier,,,,52712,9488,1772474340,
pay_UG6S35YTU8GYEW,payment,WB-106144,1775768,INR,captured,upi,TRUE,Payment for WB-106144 Rubber foot mat,,,,35515,6393,1772483820,
pay_E5BJTX8NJT15KV,payment,WB-106195,8274772,INR,captured,upi,TRUE,Payment for WB-106195 Coir door mat,,,,165495,29789,1772466000,
pay_A608QQB7USWLLR,payment,WB-106384,592400,INR,captured,emi,TRUE,Payment for WB-106384 Rubber foot mat,,,,11848,2133,1772479740,
pay_4GFCBZPF9GL1N0,payment,WB-106606,746712,INR,captured,upi,TRUE,Payment for WB-106606 Coir door mat,,,,14934,2688,1772468340,
pay_QM7DFUKQZPUGFR,payment,WB-106647,6021802,INR,captured,wallet,TRUE,Payment for WB-106647 Coir door mat,,,,120436,21678,1772468100,
pay_7XDVDNJ1UJGPGT,payment,WB-106654,1495900,INR,captured,emi,TRUE,Payment for WB-106654 Copper water bottle,,,,29918,5385,1772462940,
pay_SJT96AR8G94JFX,payment,WB-106777,2927100,INR,captured,netbanking,TRUE,Payment for WB-106777 Trolley bag 24 inch,,,,58542,10538,1772484060,
pay_FVUMB062N385AP,payment,WB-106849,7115100,INR,captured,netbanking,TRUE,Payment for WB-106849 Trolley bag 24 inch,,,,142302,25614,1772481300,
pay_ZS3G3ZVKRAWSRP,payment,WB-107043,2440224,INR,captured,upi,TRUE,Payment for WB-107043 Copper water bottle,,,,48804,8785,1772468940,
pay_7EGABH5FF7SABN,payment,WB-107532,6349700,INR,captured,upi,TRUE,Payment for WB-107532 Trolley bag 24 inch,,,,126994,22859,1772483880,
pay_69P83GAD7XH9CZ,payment,WB-108023,8254100,INR,captured,netbanking,TRUE,Payment for WB-108023 Coir door mat,,,,165082,29715,1772457000,
pay_RR1XGC6VWHWAFA,payment,WB-108047,7927400,INR,captured,emi,TRUE,Payment for WB-108047 Rubber foot mat,,,,158548,28539,1772450400,
pay_4V1X48LHNAEZFU,payment,WB-108110,2324084,INR,captured,card,TRUE,Payment for WB-108110 Mixer jar spare,,,,46482,8367,1772458500,
pay_610UHKJPMCG8KV,payment,WB-108279,3329243,INR,captured,upi,TRUE,Payment for WB-108279 Steel tiffin carrier,,,,66585,11985,1772442900,
pay_SQVP1W4F91TAZ6,payment,WB-108498,1492321,INR,captured,wallet,TRUE,Payment for WB-108498 Steel tiffin carrier,,,,29846,5372,1772442780,
pay_UQDL736MYY96G3,payment,WB-108600,4599944,INR,captured,emi,TRUE,Payment for WB-108600 Copper water bottle,,,,91999,16560,1772475660,
pay_7KWZBCZ8C3QC4R,payment,WB-108815,6053694,INR,captured,netbanking,TRUE,Payment for WB-108815 Rubber foot mat,,,,121074,21793,1772442480,
pay_KK8Q69C9GDT9SV,payment,WB-108984,106642,INR,captured,netbanking,TRUE,Payment for WB-108984 Trolley bag 24 inch,,,,2133,384,1772480580,
pay_ZHP9CS31EWB0J8,payment,WB-109028,8987200,INR,captured,upi,TRUE,Payment for WB-109028 Mixer jar spare,,,,179744,32354,1772456580,
pay_X3HXT8165WJ1L9,payment,WB-109193,4312000,INR,captured,card,TRUE,Payment for WB-109193 Mixer jar spare,,,,86240,15523,1772467920,
pay_ED02EKNSRXA9R5,payment,WB-109330,3244900,INR,captured,emi,TRUE,Payment for WB-109330 Copper water bottle,,,,64898,11682,1772449620,
pay_JEUXLM24PDNU56,payment,WB-109394,7722500,INR,captured,card,TRUE,Payment for WB-109394 Rubber foot mat,,,,154450,27801,1772469480,
pay_DBHFZZBJPJEQKV,payment,WB-109559,218000,INR,captured,card,TRUE,Payment for WB-109559 Steel tiffin carrier,,,,4360,785,1772465340,
pay_URDH19YRYHZEK3,payment,WB-109575,3845900,INR,captured,emi,TRUE,Payment for WB-109575 Coir door mat,,,,76918,13845,1772469480,
pay_0TFUUDKHG96J5Z,payment,WB-109759,3897800,INR,captured,wallet,TRUE,Payment for WB-109759 Trolley bag 24 inch,,,,77956,14032,1772482200,
