Transaction Date,Value Date,Description,UTR,Amount,Dr/Cr,Balance
05-Mar-2026,05-Mar-2026,NEFT OUTWARD VENDOR PAYOUT GIRNAR PIPES,UTR9930041,"(1,18,450.00)",DR,"1,67,950.00"
09-Mar-2026,09-Mar-2026,IMPS INWARD COUNTER COLLECTION SWEEP,UTR9930063,"27,310.00",CR,"1,95,260.00"
12-Mar-2026,12-Mar-2026,NEFT OUTWARD VENDOR PAYOUT NAAZ FABRICS,UTR9930088,"(74,620.00)",DR,"1,20,640.00"
16-Mar-2026,16-Mar-2026,GATEWAY MDR DEBIT MARCH CYCLE ONE,UTR9930102,"(8,140.00)",DR,"1,12,500.00"
21-Mar-2026,21-Mar-2026,NEFT INWARD COLD PRESS OIL CASE VAAYU ORGNC,UTR9930114,"46,185.00",CR,"1,58,685.00"
24-Mar-2026,24-Mar-2026,NEFT OUTWARD VENDOR PAYOUT RANJEET TIMBER,UTR9930167,"(53,900.00)",DR,"1,04,785.00"
28-Mar-2026,28-Mar-2026,RTGS INWARD TRISOOL ONLINE SERVICES,UTR9930287,"58,940.00",CR,"1,63,725.00"
29-Mar-2026,29-Mar-2026,UPI/COLLECT/MADHUBAN NURSERIES/4417,UTR9930344,"12,760.00",CR,"1,76,485.00"
31-Mar-2026,31-Mar-2026,NEFT INWARD MEGHDOOT PACKAGING CONSIGNMENT,UTR9930411,"33,750.00",CR,"2,10,235.00"
01-Apr-2026,01-Apr-2026,NEFT INWARD MEGHDOOT PACKAGING LLP DESPATCH,UTR9930423,"33,750.00",CR,"2,43,985.00"
03-Apr-2026,03-Apr-2026,SETTLEMENT ADJUSTMENT REVERSAL GATEWAY,UTR9930470,"(3,215.00)",DR,"2,40,770.00"
06-Apr-2026,06-Apr-2026,NEFT INWARD POS CONSOLIDATED PAYOUT,UTR9930518,"21,255.00",CR,"2,62,025.00"
08-Apr-2026,08-Apr-2026,NEFT OUTWARD VENDOR PAYOUT SOHRAB AUTO,UTR9930561,"(96,300.00)",DR,"1,65,725.00"
09-Apr-2026,09-Apr-2026,REFUND ADJUSTMENT UPI COLLECT REVERSAL,UTR9930588,"(4,470.00)",DR,"1,61,255.00"
10-Apr-2026,10-Apr-2026,IMPS INWARD COUNTER COLLECTION SWEEP,UTR9930604,"31,940.00",CR,"1,93,195.00"
12-Apr-2026,12-Apr-2026,BANK CHARGES ESCROW MAINTENANCE APR,UTR9930651,(826.00),DR,"1,92,369.00"
