Settlement ID,Settlement Date,Order ID,Payment ID,Payment Time,Payment Amount,Payment Charges,GST,Amount Settled,Currency,Payment Status,Customer Name,Remarks
CFSETL20260312,2026-03-12,INV-3013,CF-981150602,2026-03-10 11:42:08,3125.00,62.50,11.25,3051.25,INR,SUCCESS,Anand Traders Private Limited,Payment for INV-3013 widget bundle standard
CFSETL20260312,2026-03-12,INV-3014,CF-224934814,2026-03-10 14:19:55,7480.00,149.60,26.93,7303.47,INR,SUCCESS,Bluepeak Services Pvt Ltd,Payment for INV-3014 team seat upgrade
CFSETL20260313,2026-03-13,INV-3015,CF-908347857,2026-03-11 09:05:41,21600.00,432.00,77.76,21090.24,INR,SUCCESS,Vantage Analytics Pvt Ltd,Payment for INV-3015 analytics add-on
CFSETL20260313,2026-03-13,INV-3016,CF-398976475,2026-03-11 18:27:03,1299.00,25.98,4.68,1268.34,INR,SUCCESS,Harbourline Foods Pvt Ltd,Payment for INV-3016 starter plan monthly
CFSETL20260314,2026-03-14,INV-3017,CF-885563180,2026-03-12 12:58:20,5675.00,113.50,20.43,5541.07,INR,SUCCESS,Northwind Retail Private Limited,Payment for INV-3017 express shipping add-on
CFSETL20260308,2026-03-08,SH-88201,CF-955945680,2026-03-06 09:15:02,3480.00,69.60,12.53,3397.87,INR,SUCCESS,Web customer,Payment for SH-88201 ceramic pour-over kettle
CFSETL20260310,2026-03-10,SH-88202,CF-194340948,2026-03-08 11:03:31,1260.00,25.20,4.54,1230.26,INR,SUCCESS,Web customer,Payment for SH-88202 paper filter refill pack
CFSETL20260312,2026-03-12,SH-88203,CF-307193979,2026-03-10 15:38:52,5940.00,118.80,21.38,5799.82,INR,SUCCESS,Web customer,Payment for SH-88203 compact burr grinder
CFSETL20260314,2026-03-14,SH-88204,CF-173203837,2026-03-12 08:52:11,2145.00,42.90,7.72,2094.38,INR,SUCCESS,Web customer,Payment for SH-88204 insulated travel tumbler
CFSETL20260316,2026-03-16,SH-88205,CF-736231710,2026-03-14 17:27:38,8320.00,166.40,29.95,8123.65,INR,SUCCESS,Web customer,Payment for SH-88205 entry tier espresso machine
CFSETL20260318,2026-03-18,SH-88206,CF-919530009,2026-03-16 10:07:49,990.00,19.80,3.56,966.64,INR,SUCCESS,Web customer,Payment for SH-88206 cleaning tablet jar
CFSETL20260320,2026-03-20,SH-88207,CF-194642993,2026-03-18 13:46:07,4675.00,93.50,16.83,4564.67,INR,SUCCESS,Web customer,Payment for SH-88207 milk frothing jug set
CFSETL20260322,2026-03-22,SH-88208,CF-433803156,2026-03-20 19:13:22,12840.00,256.80,46.22,12536.98,INR,SUCCESS,Web customer,Payment for SH-88208 roasting drum accessory
CFSETL20260324,2026-03-24,SH-88209,CF-913733099,2026-03-22 07:33:59,2390.00,47.80,8.60,2333.60,INR,SUCCESS,Web customer,Payment for SH-88209 brewing scale with timer
CFSETL20260326,2026-03-26,SH-88210,CF-199125763,2026-03-24 16:20:47,6150.00,123.00,22.14,6004.86,INR,SUCCESS,Web customer,Payment for SH-88210 cold brew tower
CFSETL20260327,2026-03-27,INV-3117,CF-635804128,2026-03-25 10:11:34,8650.00,173.00,31.14,8445.86,INR,SUCCESS,Harbourline Foods Pvt Ltd,Payment for INV-3117 refrigeration unit deposit
CFSETL20260329,2026-03-29,INV-306,CF-898826052,2026-03-27 15:44:26,13475.00,269.50,48.51,13156.99,INR,SUCCESS,Sunrise Commerce LLP,Payment for INV-306 consulting retainer block
CFSETL20260330,2026-03-30,SH-88212,CF-581763349,2026-03-28 12:05:37,7305.00,146.10,26.30,7132.60,INR,SUCCESS,Web customer,Payment for SH-88212 pro tier bench grinder
CFSETL20260402,2026-04-02,ZB-6106,CF-796016658,2026-03-31 09:48:15,4990.00,99.80,17.96,4872.24,INR,SUCCESS,Harbourline Foods Pvt Ltd,Payment for ZB-6106 cold storage compliance audit
