Bill No,Bill Date,Store Code,Terminal Id,Customer Name,Item Name,Qty,Payment Mode,Bill Amount,Tax,Remarks
POS-300111,01/03/2026,HYD-01,TID4351,Shubhankar Electricals LLP,Sponge pack,3,NETBANKING,"33,963.20","2,590.41",Counter bill Sponge pack
POS-300841,01/03/2026,BLR-02,TID4363,Ojas Lighting Private Limited,Battery pack AA,3,WALLET,"21,446.75","1,635.77",Counter bill Battery pack AA
POS-302087,01/03/2026,HYD-01,TID4783,Prithvi Seeds and Feeds Pvt Ltd,Torch and cells,4,NETBANKING,"43,283.00","3,301.25",Counter bill Torch and cells
POS-302180,01/03/2026,MYS-01,TID4271,Kaveri Rubber Works Pvt Ltd,Adhesive carton,1,WALLET,"20,802.00","1,586.59",Counter bill Adhesive carton
POS-302271,01/03/2026,BLR-01,TID4093,Sohrab Auto Spares LLP,Grocery basket,4,NETBANKING,"32,155.00","2,452.50",Counter bill Grocery basket
POS-302426,01/03/2026,PNQ-01,TID4012,Tarangini Prints LLP,Garden tool set,2,UPI,"6,389.92",487.37,Counter bill Garden tool set
POS-302659,01/03/2026,MYS-01,TID4338,Utsav Bakers LLP,Extension board,4,NETBANKING,"33,867.41","2,583.11",Counter bill Extension board
POS-302666,01/03/2026,HYD-01,TID4319,Madhuban Nurseries Pvt Ltd,Cable tie pack,3,UPI,"2,233.00",170.31,Counter bill Cable tie pack
POS-302731,01/03/2026,PNQ-01,TID4427,Palashwood Interiors Pvt Ltd,Stationery pack,1,WALLET,"2,994.20",228.37,Counter bill Stationery pack
POS-303140,01/03/2026,MYS-01,TID4544,Devgiri Paints LLP,Fastener assortment,2,CARD,"3,812.00",290.75,Counter bill Fastener assortment
POS-303725,01/03/2026,BLR-01,TID4550,Vaayu Organics Private Limited,Plumbing fittings,4,WALLET,"10,150.00",774.15,Counter bill Plumbing fittings
POS-304145,01/03/2026,MYS-01,TID4111,Ekansh Glassworks Private Limited,Tarpaulin sheet,2,WALLET,782.72,59.70,Counter bill Tarpaulin sheet
POS-304171,01/03/2026,BLR-01,TID4832,Kesari Handlooms Pvt Ltd,Hardware fittings,2,WALLET,"37,330.00","2,847.20",Counter bill Hardware fittings
POS-304330,01/03/2026,BLR-01,TID4323,Ranjeet Timber Depot Pvt Ltd,Bulb pack of six,1,UPI,"14,865.00","1,133.77",Counter bill Bulb pack of six
POS-304392,01/03/2026,HYD-01,TID4437,Meghdoot Packaging LLP,Paint tin 4L,3,NETBANKING,"15,663.00","1,194.64",Counter bill Paint tin 4L
POS-304851,01/03/2026,PNQ-01,TID4009,Neelkanth Ceramics Pvt Ltd,Cleaning supplies,3,UPI,"18,969.08","1,446.79",Counter bill Cleaning supplies
POS-305365,01/03/2026,BLR-02,TID4867,Naaz Fabrics Private Limited,Mop and bucket,2,NETBANKING,"37,571.00","2,865.58",Counter bill Mop and bucket
POS-305370,01/03/2026,PNQ-01,TID4427,Yamini Home Needs Pvt Ltd,Ladder step 4ft,1,WALLET,"2,994.00",228.36,Counter bill Ladder step 4ft
POS-305401,01/03/2026,MYS-01,TID4621,Girnar Pipes and Fittings Pvt Ltd,Bedding roll,1,NETBANKING,"23,247.00","1,773.08",Counter bill Bedding roll
POS-305765,01/03/2026,HYD-01,TID4331,Barkat Stationers Private Limited,Crockery half set,4,WALLET,"21,218.00","1,618.32",Counter bill Crockery half set
POS-301003,02/03/2026,MYS-01,TID4085,Palashwood Interiors Pvt Ltd,Adhesive carton,1,UPI,"38,397.94","2,928.66",Counter bill Adhesive carton
POS-301062,02/03/2026,MYS-01,TID4658,Anokhi Kitchenware Pvt Ltd,Ladder step 4ft,1,CARD,"4,612.78",351.82,Counter bill Ladder step 4ft
POS-301396,02/03/2026,HYD-01,TID4751,Rukmini Provisions Private Limited,Extension board,4,WALLET,"36,758.00","2,803.58",Counter bill Extension board
POS-301465,02/03/2026,BLR-02,TID4207,Chandravat Metals Private Limited,Torch and cells,4,NETBANKING,"1,451.00",110.67,Counter bill Torch and cells
POS-301558,02/03/2026,BLR-01,TID4385,Sanchit Hardware Depot Pvt Ltd,Measuring tape 5m,3,NETBANKING,"34,195.09","2,608.10",Counter bill Measuring tape 5m
POS-301936,02/03/2026,PNQ-01,TID4281,Ojas Lighting Private Limited,Cable tie pack,3,UPI,"39,769.41","3,033.26",Counter bill Cable tie pack
POS-302035,02/03/2026,BLR-01,TID4886,Sitara Packaging Solutions Pvt Ltd,Electrical wire roll,1,UPI,"18,805.81","1,434.34",Counter bill Electrical wire roll
POS-302089,02/03/2026,BLR-02,TID4463,Chirag Battery House Pvt Ltd,Cleaning supplies,3,WALLET,"3,246.00",247.58,Counter bill Cleaning supplies
POS-302298,02/03/2026,PNQ-01,TID4444,Bhoomi Tiles and Sanitary LLP,Crockery half set,4,WALLET,"22,014.17","1,679.05",Counter bill Crockery half set
POS-302692,02/03/2026,PNQ-01,TID4644,Bhavani Steel Trading Pvt Ltd,Storage crate,4,WALLET,"10,814.36",824.82,Counter bill Storage crate
POS-302809,02/03/2026,BLR-01,TID4604,Kalanjali Crafts Pvt Ltd,Paint tin 4L,3,WALLET,"4,230.93",322.70,Counter bill Paint tin 4L
POS-302975,02/03/2026,BLR-02,TID4088,Marudhar Furnishings LLP,Tarpaulin sheet,2,UPI,"38,421.00","2,930.42",Counter bill Tarpaulin sheet
POS-303595,02/03/2026,HYD-01,TID4291,Ambar Cold Rooms Pvt Ltd,Bulb pack of six,1,WALLET,"20,938.84","1,597.03",Counter bill Bulb pack of six
POS-303890,02/03/2026,PNQ-01,TID4588,Tarangini Prints LLP,Mop and bucket,2,NETBANKING,"35,619.00","2,716.70",Counter bill Mop and bucket
POS-304168,02/03/2026,PNQ-01,TID4119,Suvarna Weaves LLP,Sports kit,2,WALLET,"7,134.00",544.12,Counter bill Sports kit
POS-304680,02/03/2026,HYD-01,TID4781,Nirvaan Agro Mills Pvt Ltd,Battery pack AA,3,CARD,"24,368.80","1,858.64",Counter bill Battery pack AA
POS-304844,02/03/2026,BLR-02,TID4511,Tanmay Toolroom Private Limited,Garden tool set,2,UPI,"9,881.00",753.64,Counter bill Garden tool set
POS-304887,02/03/2026,HYD-01,TID4856,Jashan Sports Goods Pvt Ltd,Stationery pack,1,UPI,"24,893.90","1,898.69",Counter bill Stationery pack
POS-305188,02/03/2026,BLR-01,TID4122,Vindhya Plastics Private Limited,Hardware fittings,2,NETBANKING,"13,455.16","1,026.24",Counter bill Hardware fittings
POS-300689,03/03/2026,PNQ-01,TID4642,Sohrab Auto Spares LLP,Torch and cells,4,WALLET,"23,394.61","1,784.33",Counter bill Torch and cells
POS-300856,03/03/2026,BLR-01,TID4843,Vaayu Organics Private Limited,Extension board,4,UPI,"43,705.00","3,333.43",Counter bill Extension board
