order_id,invoice_ref,amount,currency,order_date,description,status,refund_amount
ORD-5001,INV-2048,12500.00,INR,2026-03-01,Annual cloud platform subscription,captured,
ORD-5002,INV-2049,4300.50,INR,2026-03-01,SoundMax Pro headphones,captured,
ORD-5003,INV-2050,899.00,INR,2026-03-02,Starter plan monthly,captured,
ORD-5004,INV-2051,24999.00,INR,2026-03-02,Enterprise onboarding fee,captured,
ORD-5005,INV-2052,1750.00,INR,2026-03-03,Priority support add-on,captured,
ORD-5006,INV-2053,6300.00,INR,2026-03-03,Team seats x3 quarterly,captured,
ORD-5007,INV-2054,15400.00,INR,2026-03-04,Data export service annual,captured,
ORD-5008,INV-2055,2200.00,INR,2026-03-04,Widget bundle standard,captured,
ORD-5009,INV/2056/A,8750.00,INR,2026-03-05,Consulting session block,captured,
ORD-5010,INV-2057,31200.00,INR,2026-03-05,Annual cloud platform renewal - Northwind Retail,captured,
ORD-5011,INV-2058,5000.00,INR,2026-03-06,Gift card purchase,captured,
ORD-5012,INV-2059,9400.00,INR,2026-03-12,Express shipping add-on,captured,
ORD-5013,INV-2060,18650.00,INR,2026-03-07,Custom integration build,captured,
ORD-5014,INV-2061,7700.00,INR,2026-03-07,Pro subscription annual,captured,
ORD-5015,INV-2062,1200.00,USD,2026-03-08,Overseas licence fee,captured,
ORD-5016,INV-2063,3300.00,INR,2026-03-09,Annual membership renewal,captured,
ORD-5017,INV-2063,3300.00,INR,2026-03-09,Annual membership renewal duplicate entry,captured,
ORD-5018,INV-2064,11000.00,INR,2026-03-10,Widget bundle premium,partially_refunded,2500.00
