Advice No,Sweep Credit Date,Collection Mode,Invoice Ref,Payout Id,Payment Date,Gross Amount,Collection Charges,Tax,Payout Amount,Currency,Status,Counterparty Name,Details
ADV-20260312,2026-03-12T18:30:00+05:30,NET BANKING,INV-3013,SWP-981150602,2026-03-10T11:42:08+05:30,"3,125.00 Cr",62.50 Dr,11.25 Dr,"3,051.25 Cr",INR,credited,Anand Traders Private Limited,Payment for INV-3013 widget bundle standard
ADV-20260312,2026-03-12T18:30:00+05:30,NET BANKING,INV-3014,SWP-224934814,2026-03-10T14:19:55+05:30,"7,480.00 Cr",149.60 Dr,26.93 Dr,"7,303.47 Cr",INR,credited,Bluepeak Services Pvt Ltd,Payment for INV-3014 team seat upgrade
ADV-20260313,2026-03-13T18:30:00+05:30,NET BANKING,INV-3015,SWP-908347857,2026-03-11T09:05:41+05:30,"21,600.00 Cr",432.00 Dr,77.76 Dr,"21,090.24 Cr",INR,credited,Vantage Analytics Pvt Ltd,Payment for INV-3015 analytics add-on
ADV-20260313,2026-03-13T18:30:00+05:30,PAYMENT LINK,INV-3016,SWP-398976475,2026-03-11T18:27:03+05:30,"1,299.00 Cr",25.98 Dr,4.68 Dr,"1,268.34 Cr",INR,credited,Harbourline Foods Pvt Ltd,Payment for INV-3016 starter plan monthly
ADV-20260314,2026-03-14T18:30:00+05:30,NET BANKING,INV-3017,SWP-885563180,2026-03-12T12:58:20+05:30,"5,675.00 Cr",113.50 Dr,20.43 Dr,"5,541.07 Cr",INR,credited,Northwind Retail Private Limited,Payment for INV-3017 express shipping add-on
ADV-20260308,2026-03-08T18:30:00+05:30,PAYMENT LINK,SH-88201,SWP-955945680,2026-03-06T09:15:02+05:30,"3,480.00 Cr",69.60 Dr,12.53 Dr,"3,397.87 Cr",INR,credited,Web customer,Payment for SH-88201 ceramic pour-over kettle
ADV-20260310,2026-03-10T18:30:00+05:30,PAYMENT LINK,SH-88202,SWP-194340948,2026-03-08T11:03:31+05:30,"1,260.00 Cr",25.20 Dr,4.54 Dr,"1,230.26 Cr",INR,credited,Web customer,Payment for SH-88202 paper filter refill pack
ADV-20260312,2026-03-12T18:30:00+05:30,CARD,SH-88203,SWP-307193979,2026-03-10T15:38:52+05:30,"5,940.00 Cr",118.80 Dr,21.38 Dr,"5,799.82 Cr",INR,credited,Web customer,Payment for SH-88203 compact burr grinder
ADV-20260314,2026-03-14T18:30:00+05:30,PAYMENT LINK,SH-88204,SWP-173203837,2026-03-12T08:52:11+05:30,"2,145.00 Cr",42.90 Dr,7.72 Dr,"2,094.38 Cr",INR,credited,Web customer,Payment for SH-88204 insulated travel tumbler
ADV-20260316,2026-03-16T18:30:00+05:30,CARD,SH-88205,SWP-736231710,2026-03-14T17:27:38+05:30,"8,320.00 Cr",166.40 Dr,29.95 Dr,"8,123.65 Cr",INR,credited,Web customer,Payment for SH-88205 entry tier espresso machine
ADV-20260318,2026-03-18T18:30:00+05:30,PAYMENT LINK,SH-88206,SWP-919530009,2026-03-16T10:07:49+05:30,990.00 Cr,19.80 Dr,3.56 Dr,966.64 Cr,INR,credited,Web customer,Payment for SH-88206 cleaning tablet jar
ADV-20260320,2026-03-20T18:30:00+05:30,PAYMENT LINK,SH-88207,SWP-194642993,2026-03-18T13:46:07+05:30,"4,675.00 Cr",93.50 Dr,16.83 Dr,"4,564.67 Cr",INR,credited,Web customer,Payment for SH-88207 milk frothing jug set
ADV-20260322,2026-03-22T18:30:00+05:30,CARD,SH-88208,SWP-433803156,2026-03-20T19:13:22+05:30,"12,840.00 Cr",256.80 Dr,46.22 Dr,"12,536.98 Cr",INR,credited,Web customer,Payment for SH-88208 roasting drum accessory
ADV-20260324,2026-03-24T18:30:00+05:30,PAYMENT LINK,SH-88209,SWP-913733099,2026-03-22T07:33:59+05:30,"2,390.00 Cr",47.80 Dr,8.60 Dr,"2,333.60 Cr",INR,credited,Web customer,Payment for SH-88209 brewing scale with timer
ADV-20260326,2026-03-26T18:30:00+05:30,PAYMENT LINK,SH-88210,SWP-199125763,2026-03-24T16:20:47+05:30,"6,150.00 Cr",123.00 Dr,22.14 Dr,"6,004.86 Cr",INR,credited,Web customer,Payment for SH-88210 cold brew tower
ADV-20260327,2026-03-27T18:30:00+05:30,NET BANKING,INV-3117,SWP-635804128,2026-03-25T10:11:34+05:30,"8,650.00 Cr",173.00 Dr,31.14 Dr,"8,445.86 Cr",INR,credited,Harbourline Foods Pvt Ltd,Payment for INV-3117 refrigeration unit deposit
ADV-20260329,2026-03-29T18:30:00+05:30,NET BANKING,INV-306,SWP-898826052,2026-03-27T15:44:26+05:30,"13,475.00 Cr",269.50 Dr,48.51 Dr,"13,156.99 Cr",INR,credited,Sunrise Commerce LLP,Payment for INV-306 consulting retainer block
ADV-20260330,2026-03-30T18:30:00+05:30,PAYMENT LINK,SH-88212,SWP-581763349,2026-03-28T12:05:37+05:30,"7,305.00 Cr",146.10 Dr,26.30 Dr,"7,132.60 Cr",INR,credited,Web customer,Payment for SH-88212 pro tier bench grinder
ADV-20260402,2026-04-02T18:30:00+05:30,NET BANKING,ZB-6106,SWP-796016658,2026-03-31T09:48:15+05:30,"4,990.00 Cr",99.80 Dr,17.96 Dr,"4,872.24 Cr",INR,credited,Harbourline Foods Pvt Ltd,Payment for ZB-6106 cold storage compliance audit
