Posting Date,Document No,Journal,GL Account Code,Cost Centre,External Ref,Customer,Narrative,Debit,Credit,Currency
01-Mar-2026,DOC/2026/204063,SALES,4140-REV-DOM,CC-HYD-01,GLX-204063,Suvarna Weaves LLP,Rework charges billed,,12903.00,INR
01-Mar-2026,DOC/2026/204213,SALES,4130-REV-DOM,CC-PNQ-01,GLX-204213,Sitara Packaging Solutions Pvt Ltd,Warehouse handling recovery,,30674.00,INR
01-Mar-2026,DOC/2026/204239,SALES,4120-REV-DOM,CC-BLR-02,GLX-204239,Kaveri Rubber Works Pvt Ltd,Bulk despatch schedule B,,81151.75,INR
01-Mar-2026,DOC/2026/204337,SALES,4140-REV-DOM,CC-MYS-01,GLX-204337,Naaz Fabrics Private Limited,Design retainer billing,,45267.00,INR
01-Mar-2026,DOC/2026/204727,SALES,4120-REV-DOM,CC-HYD-01,GLX-204727,Shubhankar Electricals LLP,Mould development charges,,71503.00,INR
01-Mar-2026,DOC/2026/204875,SALES,4120-REV-DOM,CC-HYD-01,GLX-204875,Yamini Home Needs Pvt Ltd,Export documentation recovery,,62113.52,INR
01-Mar-2026,DOC/2026/204877,SALES,4160-REV-DOM,CC-PNQ-01,GLX-204877,Neelkanth Ceramics Pvt Ltd,Machinery hire charges,,76469.24,INR
01-Mar-2026,DOC/2026/204963,SALES,4160-REV-DOM,CC-BLR-02,GLX-204963,Ekansh Glassworks Private Limited,Labelling job billing,,21671.98,INR
01-Mar-2026,DOC/2026/205117,SALES,4130-REV-DOM,CC-MYS-01,GLX-205117,Meghdoot Packaging LLP,Job work conversion charges,,57992.00,INR
01-Mar-2026,DOC/2026/205148,SALES,4140-REV-DOM,CC-BLR-02,GLX-205148,Barkat Stationers Private Limited,Tooling amortisation billing,,83151.00,INR
01-Mar-2026,DOC/2026/205414,SALES,4120-REV-DOM,CC-PNQ-01,GLX-205414,Ranjeet Timber Depot Pvt Ltd,Spare kit despatch,,22519.55,INR
01-Mar-2026,DOC/2026/205463,SALES,4140-REV-DOM,CC-PNQ-01,GLX-205463,Kalanjali Crafts Pvt Ltd,Job work conversion charges,,41019.00,INR
01-Mar-2026,DOC/2026/205830,SALES,4110-REV-DOM,CC-BLR-01,GLX-205830,Sanchit Hardware Depot Pvt Ltd,Site erection charges,,9600.00,INR
01-Mar-2026,DOC/2026/206584,SALES,4160-REV-DOM,CC-BLR-01,GLX-206584,Vaayu Organics Private Limited,Scrap sale realisation,,26195.00,INR
01-Mar-2026,DOC/2026/206948,SALES,4160-REV-DOM,CC-MYS-01,GLX-206948,Jashan Sports Goods Pvt Ltd,Contract manufacturing charges,,13037.79,INR
01-Mar-2026,DOC/2026/207029,SALES,4150-REV-DOM,CC-HYD-01,GLX-207029,Kesari Handlooms Pvt Ltd,Freight recovery billing,,93298.00,INR
01-Mar-2026,DOC/2026/207042,SALES,4140-REV-DOM,CC-HYD-01,GLX-207042,Girnar Pipes and Fittings Pvt Ltd,Secondary transport recovery,,45513.71,INR
01-Mar-2026,DOC/2026/207114,SALES,4110-REV-DOM,CC-MYS-01,GLX-207114,Ojas Lighting Private Limited,Sample despatch billing,,85392.00,INR
01-Mar-2026,DOC/2026/207341,SALES,4130-REV-DOM,CC-BLR-02,GLX-207341,Sohrab Auto Spares LLP,Consignment despatch,,70286.00,INR
01-Mar-2026,DOC/2026/207384,SALES,4110-REV-DOM,CC-PNQ-01,GLX-207384,Palashwood Interiors Pvt Ltd,Contract manufacturing charges,,50934.00,INR
01-Mar-2026,DOC/2026/207981,SALES,4150-REV-DOM,CC-HYD-01,GLX-207981,Tanmay Toolroom Private Limited,Packaging material supply,,44098.10,INR
01-Mar-2026,DOC/2026/208032,SALES,4160-REV-DOM,CC-MYS-01,GLX-208032,Madhuban Nurseries Pvt Ltd,Palletisation charges,,72707.00,INR
01-Mar-2026,DOC/2026/208223,SALES,4110-REV-DOM,CC-PNQ-01,GLX-208223,Bhavani Steel Trading Pvt Ltd,Trial batch supply,,19584.00,INR
01-Mar-2026,DOC/2026/208387,SALES,4120-REV-DOM,CC-BLR-02,GLX-208387,Devgiri Paints LLP,Annual maintenance billing,,9571.00,INR
01-Mar-2026,DOC/2026/209042,SALES,4130-REV-DOM,CC-MYS-01,GLX-209042,Tarangini Prints LLP,Packaging material supply,,65732.34,INR
01-Mar-2026,DOC/2026/209664,SALES,4110-REV-DOM,CC-MYS-01,GLX-209664,Utsav Bakers LLP,Testing and calibration charges,,7932.00,INR
01-Mar-2026,DOC/2026/209978,SALES,4150-REV-DOM,CC-HYD-01,GLX-209978,Prithvi Seeds and Feeds Pvt Ltd,Bulk despatch schedule A,,55648.00,INR
02-Mar-2026,DOC/2026/204464,SALES,4150-REV-DOM,CC-HYD-01,GLX-204464,Tarangini Prints LLP,Design retainer billing,,93418.85,INR
02-Mar-2026,DOC/2026/204491,SALES,4130-REV-DOM,CC-BLR-02,GLX-204491,Ojas Lighting Private Limited,Palletisation charges,,36416.00,INR
02-Mar-2026,DOC/2026/204825,SALES,4130-REV-DOM,CC-HYD-01,GLX-204825,Ranjeet Timber Depot Pvt Ltd,Warehouse handling recovery,,1958.50,INR
