Entry Id,Posting Date,Merchant Ref,Adjustment Type,Payment Id,Debit,Credit,Currency,Description
ENT-80100,2026/03/06,ADJ-51004,MDR,pay_8S249JU2KD102W,6420.00,,INR,Gateway MDR debit for settlement cycle 2026-03-04
ENT-80101,2026/03/06,ADJ-51005,TAX,pay_5NH7FZ33UUQ4C5,1155.60,,INR,GST on gateway MDR for cycle 2026-03-04
ENT-80102,2026/03/11,ADJ-51012,MDR,pay_URDH19YRYHZEK3,9840.00,,INR,Gateway MDR debit for settlement cycle 2026-03-09
ENT-80103,2026/03/11,ADJ-51013,TAX,pay_8HUUA0ZMTHQ4VS,1771.20,,INR,GST on gateway MDR for cycle 2026-03-09
ENT-80104,2026/03/13,ADJ-51019,CHARGEBACK_FEE,pay_LKXXQFRQZ00146,1500.00,,INR,Chargeback handling fee raised by acquirer
ENT-80105,2026/03/16,ADJ-51026,MDR,pay_007AYEWJ65U3LN,7310.00,,INR,Gateway MDR debit for settlement cycle 2026-03-14
ENT-80106,2026/03/16,ADJ-51027,TAX,pay_ZMPR6YVGTPMZ8G,1315.80,,INR,GST on gateway MDR for cycle 2026-03-14
ENT-80107,2026/03/18,ADJ-51033,REVERSAL,pay_HMGRKNMN3W0SD5,,2480.00,INR,Reversal of MDR overcharge cycle 2026-03-04
ENT-80108,2026/03/20,ADJ-51041,MDR,pay_RG13U6S6NHHR9Y,8265.00,,INR,Gateway MDR debit for settlement cycle 2026-03-18
ENT-80109,2026/03/20,ADJ-51042,TAX,pay_QB9186F9LRUC0D,1487.70,,INR,GST on gateway MDR for cycle 2026-03-18
ENT-80110,2026/03/23,ADJ-51048,PENALTY,pay_BHCJF78FJ4F1BW,2100.00,,INR,Late settlement penalty raised by acquirer
ENT-80111,2026/03/25,ADJ-51055,MDR,pay_UVZKEVVSZFXSN7,10420.00,,INR,Gateway MDR debit for settlement cycle 2026-03-23
ENT-80112,2026/03/25,ADJ-51056,TAX,pay_F4R3KAXSQNEPF7,1875.60,,INR,GST on gateway MDR for cycle 2026-03-23
ENT-80113,2026/03/27,ADJ-51062,REVERSAL,pay_6ZTMHD6SJ4PP4Z,,3940.00,INR,Reversal of duplicate MDR debit cycle 2026-03-14
ENT-80114,2026/03/30,ADJ-51070,MDR,pay_FVVBC5WFHD1BD8,11260.00,,INR,Gateway MDR debit for settlement cycle 2026-03-28
ENT-80115,2026/03/30,ADJ-51071,TAX,pay_M5JD3V2KETWE2W,2026.80,,INR,GST on gateway MDR for cycle 2026-03-28
ENT-80116,2026/04/02,ADJ-51079,ROLLING_RESERVE,pay_ZFJGVB858LX2QG,24500.00,,INR,Rolling reserve withheld for April cycle
ENT-80117,2026/04/04,ADJ-51086,MDR,pay_U9MN8FVU6FQY83,9075.00,,INR,Gateway MDR debit for settlement cycle 2026-04-02
ENT-80118,2026/04/04,ADJ-51087,TAX,pay_TZ1K755UQ5LYJ4,1633.50,,INR,GST on gateway MDR for cycle 2026-04-02
ENT-80119,2026/04/07,ADJ-51094,REVERSAL,pay_65YNUHD3XQWU5A,,18300.00,INR,Rolling reserve released for March cycle
ENT-80120,2026/04/09,ADJ-51101,MDR,pay_2VK0Z6M2RGRDGL,8690.00,,INR,Gateway MDR debit for settlement cycle 2026-04-07
ENT-80121,2026/04/09,ADJ-51102,TAX,pay_RL4G2BQZYC5Y0P,1564.20,,INR,GST on gateway MDR for cycle 2026-04-07
ENT-80122,2026/04/11,ADJ-51109,CHARGEBACK_FEE,pay_R9LAXX9WVUXK9Q,1500.00,,INR,Chargeback handling fee raised by acquirer
ENT-80123,2026/04/13,ADJ-51116,REVERSAL,pay_TV5QLVMUGY6CE1,,1500.00,INR,Chargeback fee reversed after representment
