Order Reference,Placed On,Customer Name,Status,Currency,Item Name,Qty,Total Amount,GST,Sales Channel,Notes
WB-104254,2026-03-01T20:09:41Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,11911.83,908.53,Mobile app,Web order - Rubber foot mat
WB-104726,2026-03-01T13:35:15Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,7133.87,544.11,Marketplace,Web order - Copper water bottle
WB-104831,2026-03-01T09:24:26Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,31679.00,2416.19,Phone order,Web order - Steel tiffin carrier
WB-105613,2026-03-01T13:03:36Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,17839.08,1360.61,Mobile app,Web order - Rubber foot mat
WB-105634,2026-03-01T16:31:17Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,6953.91,530.38,Mobile app,Web order - Trolley bag 24 inch
WB-105713,2026-03-01T08:03:53Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,44944.00,3427.93,Marketplace,Web order - Rubber foot mat
WB-105723,2026-03-01T20:53:33Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,82320.41,6278.68,Web,Web order - Steel tiffin carrier
WB-105728,2026-03-01T18:56:26Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,89192.59,6802.82,Mobile app,Web order - Trolley bag 24 inch
WB-105758,2026-03-01T11:47:06Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,70760.00,5396.95,Web,Web order - Steel tiffin carrier
WB-106120,2026-03-01T13:13:00Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,45585.00,3476.82,Phone order,Web order - Steel tiffin carrier
WB-106142,2026-03-01T12:49:53Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,34271.81,2613.95,Marketplace,Web order - Rubber foot mat
WB-106169,2026-03-01T20:18:01Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,77729.43,5928.52,Mobile app,Web order - Rubber foot mat
WB-106266,2026-03-01T12:02:30Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,53617.51,4089.47,Web,Web order - Coir door mat
WB-106608,2026-03-01T15:26:53Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,24667.00,1881.38,Marketplace,Web order - Copper water bottle
WB-106764,2026-03-01T15:26:53Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,47599.00,3630.43,Web,Web order - Coir door mat
WB-106851,2026-03-01T20:01:46Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,18806.00,1434.36,Web,Web order - Coir door mat
WB-106887,2026-03-01T19:06:46Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,22496.00,1715.80,Mobile app,Web order - Copper water bottle
WB-106987,2026-03-01T11:38:45Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,72006.75,5492.04,Marketplace,Web order - Rubber foot mat
WB-107004,2026-03-01T14:15:06Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,11936.00,910.37,Phone order,Web order - Steel tiffin carrier
WB-107070,2026-03-01T09:21:53Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,12670.00,966.36,Web,Web order - Mixer jar spare
WB-107168,2026-03-01T18:30:53Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,34558.00,2635.78,Mobile app,Web order - Copper water bottle
WB-107190,2026-03-01T15:20:10Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,4815.32,367.27,Marketplace,Web order - Copper water bottle
WB-107341,2026-03-01T13:26:33Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,12421.00,947.36,Marketplace,Web order - Trolley bag 24 inch
WB-107465,2026-03-01T18:07:13Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,54679.00,4170.43,Web,Web order - Mixer jar spare
WB-107468,2026-03-01T15:00:20Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,76011.00,5797.45,Phone order,Web order - Coir door mat
WB-107552,2026-03-01T09:04:40Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,35319.00,2693.82,Phone order,Web order - Mixer jar spare
WB-107636,2026-03-01T13:31:38Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,46343.94,3534.71,Phone order,Web order - Mixer jar spare
WB-107844,2026-03-01T16:18:40Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,19713.00,1503.53,Phone order,Web order - Coir door mat
WB-108049,2026-03-01T18:41:20Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,4740.00,361.53,Marketplace,Web order - Trolley bag 24 inch
WB-108089,2026-03-01T14:35:54Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,50720.23,3868.49,Web,Web order - Steel tiffin carrier
WB-108313,2026-03-01T20:18:21Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,53050.25,4046.21,Phone order,Web order - Coir door mat
WB-108565,2026-03-01T18:50:40Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,37470.00,2857.88,Phone order,Web order - Coir door mat
WB-108766,2026-03-01T15:08:34Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,89318.84,6812.45,Marketplace,Web order - Trolley bag 24 inch
WB-108938,2026-03-01T20:01:47Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,89240.03,6806.44,Mobile app,Web order - Copper water bottle
WB-109154,2026-03-01T10:02:51Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,4298.13,327.82,Web,Web order - Steel tiffin carrier
WB-109422,2026-03-01T16:46:41Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,51166.23,3902.51,Mobile app,Web order - Trolley bag 24 inch
WB-109468,2026-03-01T08:09:40Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,11654.42,888.90,Web,Web order - Mixer jar spare
WB-109596,2026-03-01T12:36:57Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,32398.11,2471.04,Mobile app,Web order - Copper water bottle
WB-109691,2026-03-01T17:12:13Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,55093.00,4202.01,Phone order,Web order - Mixer jar spare
WB-104030,2026-03-02T17:55:39Z,Madhuban Nurseries Pvt Ltd,PAID,INR,Coir door mat,3,42142.78,3214.28,Phone order,Web order - Coir door mat
WB-104084,2026-03-02T08:12:33Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,83134.00,6340.73,Phone order,Web order - Mixer jar spare
WB-104182,2026-03-02T15:12:12Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,89420.78,6820.23,Mobile app,Web order - Copper water bottle
WB-104267,2026-03-02T17:52:46Z,Jashan Sports Goods Pvt Ltd,PAID,INR,Steel tiffin carrier,1,54365.00,4146.48,Web,Web order - Steel tiffin carrier
WB-104677,2026-03-02T15:45:35Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,8156.85,622.13,Web,Web order - Steel tiffin carrier
WB-105141,2026-03-02T17:23:41Z,Kalanjali Crafts Pvt Ltd,PAID,INR,Mixer jar spare,3,84406.83,6437.81,Phone order,Web order - Mixer jar spare
WB-105507,2026-03-02T14:39:12Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,80579.16,6145.87,Web,Web order - Mixer jar spare
WB-105520,2026-03-02T19:00:20Z,Rukmini Provisions Private Limited,PAID,INR,Trolley bag 24 inch,4,312.00,23.80,Marketplace,Web order - Trolley bag 24 inch
WB-105591,2026-03-02T14:52:26Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,32057.00,2445.03,Marketplace,Web order - Trolley bag 24 inch
WB-105712,2026-03-02T18:35:33Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,83566.00,6373.68,Mobile app,Web order - Rubber foot mat
WB-105776,2026-03-02T12:12:12Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,7544.18,575.40,Mobile app,Web order - Copper water bottle
WB-105811,2026-03-02T17:59:16Z,Chirag Battery House Pvt Ltd,PAID,INR,Steel tiffin carrier,3,26356.10,2010.21,Phone order,Web order - Steel tiffin carrier
WB-106144,2026-03-02T20:37:22Z,Devgiri Paints LLP,PAID,INR,Rubber foot mat,2,17757.68,1354.40,Mobile app,Web order - Rubber foot mat
WB-106195,2026-03-02T15:40:57Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,82747.72,6311.27,Web,Web order - Coir door mat
WB-106384,2026-03-02T19:29:06Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,5924.00,451.83,Mobile app,Web order - Rubber foot mat
WB-106606,2026-03-02T16:19:24Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,7467.12,569.53,Phone order,Web order - Coir door mat
WB-106647,2026-03-02T16:15:27Z,Ojas Lighting Private Limited,PAID,INR,Coir door mat,3,60218.02,4592.90,Phone order,Web order - Coir door mat
WB-106654,2026-03-02T14:49:33Z,Tanmay Toolroom Private Limited,PAID,INR,Copper water bottle,2,14959.00,1140.94,Mobile app,Web order - Copper water bottle
WB-106777,2026-03-02T20:41:40Z,Marudhar Furnishings LLP,PAID,INR,Trolley bag 24 inch,2,29271.00,2232.53,Mobile app,Web order - Trolley bag 24 inch
WB-106849,2026-03-02T19:55:20Z,Utsav Bakers LLP,PAID,INR,Trolley bag 24 inch,4,71151.00,5426.77,Marketplace,Web order - Trolley bag 24 inch
WB-107043,2026-03-02T16:29:48Z,Sohrab Auto Spares LLP,PAID,INR,Copper water bottle,4,24402.24,1861.19,Marketplace,Web order - Copper water bottle
WB-107532,2026-03-02T20:38:06Z,Suvarna Weaves LLP,PAID,INR,Trolley bag 24 inch,2,63497.00,4842.99,Mobile app,Web order - Trolley bag 24 inch
WB-108023,2026-03-02T13:10:06Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,82541.00,6295.50,Web,Web order - Coir door mat
WB-108047,2026-03-02T11:20:06Z,Kesari Handlooms Pvt Ltd,PAID,INR,Rubber foot mat,2,79274.00,6046.32,Mobile app,Web order - Rubber foot mat
WB-108110,2026-03-02T13:35:34Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,23240.84,1772.61,Web,Web order - Mixer jar spare
WB-108279,2026-03-02T09:15:47Z,Palashwood Interiors Pvt Ltd,PAID,INR,Steel tiffin carrier,1,33292.43,2539.25,Web,Web order - Steel tiffin carrier
WB-108498,2026-03-02T09:13:40Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,14923.21,1138.21,Phone order,Web order - Steel tiffin carrier
WB-108600,2026-03-02T18:21:14Z,Prithvi Seeds and Feeds Pvt Ltd,PAID,INR,Copper water bottle,4,45999.44,3508.43,Marketplace,Web order - Copper water bottle
WB-108815,2026-03-02T09:08:38Z,Barkat Stationers Private Limited,PAID,INR,Rubber foot mat,4,60536.94,4617.22,Marketplace,Web order - Rubber foot mat
WB-108984,2026-03-02T19:43:27Z,Ekansh Glassworks Private Limited,PAID,USD,Trolley bag 24 inch,2,1066.42,81.34,Mobile app,Web order - Trolley bag 24 inch
WB-109028,2026-03-02T13:03:53Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,89872.00,6854.64,Web,Web order - Mixer jar spare
WB-109193,2026-03-02T16:12:33Z,Girnar Pipes and Fittings Pvt Ltd,PAID,INR,Mixer jar spare,1,43120.00,3288.81,Web,Web order - Mixer jar spare
WB-109330,2026-03-02T11:07:13Z,Chandravat Metals Private Limited,PAID,INR,Copper water bottle,4,32449.00,2474.92,Marketplace,Web order - Copper water bottle
WB-109394,2026-03-02T16:38:46Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,77225.00,5890.04,Marketplace,Web order - Rubber foot mat
WB-109559,2026-03-02T15:29:06Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,2180.00,166.27,Phone order,Web order - Steel tiffin carrier
WB-109575,2026-03-02T16:38:06Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,38459.00,2933.31,Web,Web order - Coir door mat
WB-109759,2026-03-02T20:10:26Z,Vaayu Organics Private Limited,PAID,INR,Trolley bag 24 inch,4,38978.00,2972.90,Marketplace,Web order - Trolley bag 24 inch
WB-109895,2026-03-02T13:09:42Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,10484.46,799.66,Marketplace,Web order - Rubber foot mat
WB-109922,2026-03-02T17:26:33Z,Meghdoot Packaging LLP,PAID,INR,Mixer jar spare,3,3880.00,295.93,Phone order,Web order - Mixer jar spare
WB-104176,2026-03-03T14:55:00Z,Bhavani Steel Trading Pvt Ltd,PAID,INR,Rubber foot mat,4,65808.00,5019.25,Marketplace,Web order - Rubber foot mat
WB-104183,2026-03-03T15:40:13Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,59449.00,4534.25,Web,Web order - Coir door mat
WB-104251,2026-03-03T08:09:00Z,Vindhya Plastics Private Limited,PAID,INR,Rubber foot mat,2,43650.00,3329.24,Mobile app,Web order - Rubber foot mat
WB-104255,2026-03-03T16:13:58Z,Tarangini Prints LLP,PAID,INR,Copper water bottle,2,34750.76,2650.48,Mobile app,Web order - Copper water bottle
WB-104298,2026-03-03T18:00:42Z,Nirvaan Agro Mills Pvt Ltd,PAID,INR,Coir door mat,3,35513.47,2708.65,Phone order,Web order - Coir door mat
WB-104307,2026-03-03T15:16:53Z,Yamini Home Needs Pvt Ltd,PAID,INR,Mixer jar spare,1,16234.00,1238.19,Web,Web order - Mixer jar spare
WB-104429,2026-03-03T12:12:53Z,Bhoomi Tiles and Sanitary LLP,PAID,INR,Rubber foot mat,4,26818.00,2045.44,Marketplace,Web order - Rubber foot mat
WB-104576,2026-03-03T14:41:40Z,Naaz Fabrics Private Limited,PAID,INR,Copper water bottle,2,91632.00,6988.88,Mobile app,Web order - Copper water bottle
WB-104869,2026-03-03T10:46:20Z,Anokhi Kitchenware Pvt Ltd,PAID,INR,Mixer jar spare,1,15684.00,1196.24,Web,Web order - Mixer jar spare
WB-105061,2026-03-03T20:20:10Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,38441.11,2931.95,Phone order,Web order - Steel tiffin carrier
WB-105220,2026-03-03T19:16:33Z,Kaveri Rubber Works Pvt Ltd,PAID,INR,Steel tiffin carrier,1,84952.00,6479.39,Web,Web order - Steel tiffin carrier
WB-105370,2026-03-03T19:15:26Z,Neelkanth Ceramics Pvt Ltd,PAID,INR,Steel tiffin carrier,3,54953.00,4191.33,Phone order,Web order - Steel tiffin carrier
WB-105578,2026-03-03T19:55:38Z,Ranjeet Timber Depot Pvt Ltd,PAID,INR,Coir door mat,1,53187.56,4056.68,Web,Web order - Coir door mat
WB-105589,2026-03-03T19:08:58Z,Shubhankar Electricals LLP,PAID,INR,Steel tiffin carrier,3,76012.16,5797.54,Phone order,Web order - Steel tiffin carrier
WB-105834,2026-03-03T12:44:32Z,Sitara Packaging Solutions Pvt Ltd,PAID,INR,Coir door mat,1,69020.17,5264.25,Web,Web order - Coir door mat
WB-106009,2026-03-03T17:38:28Z,Ambar Cold Rooms Pvt Ltd,PAID,INR,Coir door mat,1,50307.26,3836.99,Web,Web order - Coir door mat
WB-106075,2026-03-03T10:52:26Z,Sanchit Hardware Depot Pvt Ltd,PAID,INR,Mixer jar spare,3,62711.00,4783.04,Phone order,Web order - Mixer jar spare
WB-106098,2026-03-03T16:30:13Z,Ekansh Glassworks Private Limited,PAID,INR,Trolley bag 24 inch,2,25042.00,1909.98,Mobile app,Web order - Trolley bag 24 inch
