Txn Id,Merchant Ref No,Payer VPA,Payer Name,Txn Date,Credit Date,Settlement Utr,Txn Amount,MDR,GST,Net Amount,Refund Amount,Status,Remarks
UPI270883517977,GLX-204063,suvarna06@okhdfcbank,Suvarna Weaves LLP,01/03/2026 09:13,02/03/2026,AXISUPI260302700,"₹12,903.00",₹258.06,₹46.45,"₹12,598.49",,SUCCESS,UPI collect for GLX-204063 Rework charges billed
UPI332580524864,GLX-204213,sitara66@okaxis,Sitara Packaging Solutions Pvt Ltd,01/03/2026 17:33,02/03/2026,AXISUPI260302300,"₹30,674.00",₹613.48,₹110.43,"₹29,950.09",,SUCCESS,UPI collect for GLX-204213 Warehouse handling recovery
UPI905689241973,GLX-204239,kaveri58@okicici,Kaveri Rubber Works Pvt Ltd,01/03/2026 17:04,03/03/2026,AXISUPI260303875,"₹81,151.75","₹1,623.04",₹292.15,"₹79,236.56",,SUCCESS,UPI collect for GLX-204239 Bulk despatch schedule B
UPI315849643744,GLX-204337,naaz01@okhdfcbank,Naaz Fabrics Private Limited,01/03/2026 20:27,02/03/2026,AXISUPI260302700,"₹45,267.00",₹905.34,₹162.96,"₹44,198.70",,SUCCESS,UPI collect for GLX-204337 Design retainer billing
UPI122610775110,GLX-204727,shubhankar42@ybl,Shubhankar Electricals LLP,01/03/2026 17:03,02/03/2026,AXISUPI260302800,"₹71,503.00","₹1,430.06",₹257.41,"₹69,705.53",,SUCCESS,UPI collect for GLX-204727 Mould development charges
UPI172564073142,GLX-204875,yamini54@okaxis,Yamini Home Needs Pvt Ltd,01/03/2026 16:16,02/03/2026,AXISUPI260302552,"₹62,113.52","₹1,242.27",₹223.61,"₹60,647.64",,SUCCESS,UPI collect for GLX-204875 Export documentation recovery
UPI402774500433,GLX-204877,neelkanth26@okaxis,Neelkanth Ceramics Pvt Ltd,01/03/2026 09:44,02/03/2026,AXISUPI260302624,"₹76,469.24","₹1,529.38",₹275.29,"₹74,664.57",,SUCCESS,UPI collect for GLX-204877 Machinery hire charges
UPI484073089134,GLX-204963,ekansh24@ybl,Ekansh Glassworks Private Limited,01/03/2026 12:27,02/03/2026,AXISUPI260302998,"₹21,671.98",₹433.44,₹78.02,"₹21,160.52",,SUCCESS,UPI collect for GLX-204963 Labelling job billing
UPI484114799133,GLX-205117,meghdoot55@okaxis,Meghdoot Packaging LLP,01/03/2026 14:52,02/03/2026,AXISUPI260302600,"₹57,992.00","₹1,159.84",₹208.77,"₹56,623.39",,SUCCESS,UPI collect for GLX-205117 Job work conversion charges
UPI318098927357,GLX-205148,barkat66@okhdfcbank,Barkat Stationers Private Limited,01/03/2026 17:23,02/03/2026,AXISUPI260302100,"₹83,151.00","₹1,663.02",₹299.34,"₹81,188.64",,SUCCESS,UPI collect for GLX-205148 Tooling amortisation billing
UPI615678325053,GLX-205414,ranjeet03@oksbi,Ranjeet Timber Depot Pvt Ltd,01/03/2026 17:07,03/03/2026,AXISUPI260303255,"₹22,519.55",₹450.39,₹81.07,"₹21,988.09",,SUCCESS,UPI collect for GLX-205414 Spare kit despatch
UPI600064889703,GLX-205463,kalanjali61@okhdfcbank,Kalanjali Crafts Pvt Ltd,01/03/2026 18:50,25/03/2026,AXISUPI260325700,"₹41,019.00",₹820.38,₹147.67,"₹40,050.95",,SUCCESS,UPI collect for GLX-205463 Job work conversion charges
